Konzepte;Typ;Synonyme;Wortformen;;;
Windbruch;intern;Sturmholz, Windwurf;Windbrüche;;;
Küstenerosion;intern;geologische Abrasion;;;;
Hurrikaneigenschaft;intern;;Hurrikaneigenschaften;;;
Wirbelsturm;intern;Hurrikan, Taifun, tropischer Sturm, Zyklon;Zyklon(Meteorologie);;;
Zyklon;intern;Großtrombe;Zyklone, Zyklonen;;;
im Indischen Ozean und Südpazifik;intern;;;;;
hohe Windgeschwindigkeit;extern;;Hurrikanzentrums, Hurrikanzentren;;;
Hurrikanzentrum;intern;;;;;
Tornado;intern;Wind-/Wasserhose Großtrombe;Tornados;;;
Mesozyklonaler Tornado;intern;;Mesozyklonalen Tornado, mesozyklonalem Tornado;;;
Mesozyklon;intern;;Mesozyklone, Mesozyklonen;;;
Sturzregen;intern;Platzregen;;;;
Gewitterfallböe;intern;;Gewitterfallböe;;;
Nicht-mesozyklonaler Tornado;intern;;Nicht-mesozyklonale Tornados;;;
Tornadoursache;intern;;Tornadoursachen;;;
Superzelle;intern;mehrere Gewitterzellen;Superzellen;;;
Tornadofolge;intern;;Tornadofolgen;;;
umgestürzter Baum;extern;;umgestürzte Bäume, umgestürzten Bäumen;;;
abgerissene Stromleitung;extern;;abgerissene Stromleitungen, abgerissenen Stromleitungen;;;
Tornado in Alabama;intern;;Tornados in Alabama;;;
Tornadoerkennung;intern;Tornadomerkmale;;;;
Luftwirbel;intern;;;;;
rotierende Luftmasse;extern;;rotierender Luftmasse, rotierende Luftmassen;;;
Fujita-Skala;intern;;;;;
TORRO-Skala;intern;;;;;
Dürre ;intern;Trockenheit, verursacht durch Hitze;dürr, Dürren;;;
Dürreereignis;intern;;Dürreereignisse;;;
Dürreperiode;intern;Trockenperiode;Dürreperioden;;;
Dürrejahr;intern;;Dürrejahre, Dürrejahren;;;
Dürresommer;intern;;Dürresommers;;;
Dürremonitor;intern;;Dürremonitore, Dürremonitoren;;;
Dürre-Notstand;intern;;;;;
Dürregefahr;intern;Trockenheitsrisiko;;;;
Dürresituation;intern;;Dürresituationen;;;
Dürreproblem;intern;;Dürreprobleme;;;
Dürreszenario;intern;;;;;
