Parent Ids;ID;Konzepte;Typ;Synonyme;Wortformen
1;324;Katastrophenvorsorge und -planung;;;
;325;Frühwarnsystem;;;
;326;Wetterdienstberichte;;;
;327;SMS-Warnsystem;;;
;328;Deiche für Küstenstädte;;;
;329;Erdbebenfrühwarnung;;;
;330;KI-Warnsysteme für Unwetterwarnung;;;
;331;Luftrettungsstaffel;;;
;332;Deutscher Flugbeobachtungsdienst Luftrettungsstaffel Bayern;;;
;333;intakte Wälder;;;
;334;Natürliche Auen;;;
;335;Evakuierung;;;
;336;Evakuierungstreffpunkt finden;;;
;337;Evakuierungszentrum;;;
;338;Evakuierungszone;;;
;339;Evakuierungsaufforderungen (Evakuierungsbefehle);;;
;340;Notfallplan;;;
;341; Evakuierungsplan;;;
;342;Katastrophenschutzübung;;;
;343;Trainingsprogramme für Bevölkerung;;;
;344;Brandschutz;;;
;345;vorbeugender Brandschutz;;;
;346;Katastrophenmanagement;;;
;347;Katastrophenschutz;;;
;348;Katastrophenschutzgesetze;;;
;349;Katastrophenschutzbehörde;;;
;350; Bundesamt für Bevölkerungsschutz und Katastrophenhilfe (BBK);;;
;351;EU-Katastrophenschutzverfahren;;;
;352;Versicherungsschutz;;;
;353;Haftversicherungspflicht;;;
1;354;Rettung und Soforthilfe;;;
;355;Rettungseinsatz (rettungsarbeiten) ;;;
;356;Hilfsteransport;;;
;357;Deutsche GeoForschungsZentrum;;;
;358;RKT (Regensburger Krankentransport);;;
;359;Retungsorganisation Weißhelme;;;
;360;Türkischer Roter Halbmond (Hilfsorganisation);;;
;361;Notfallvorsorge;;;
;362;Opferhilfe;;;
;363;schnelle Visavergabe;;;
;364;Flüchtlichgsorganisationen;;;
;365;Versorgung von Überlebenden und Verletzten;;;
;366;medizinische Versorgung;;;
;367;Verpflegung Strom- und Trinkwasserversorgung;;;
;368;Nothilfe;;;
;369;Ausnahmezustand;;;
;370;Notunterkünfte;;;
;371;Sach- und Geldspende;;;
;372;Hilfsgüter;;;
1;373;Langfristige Maßnahmen und Wiederaufbau;;;
;374;Schadensbegrenzung;;;
;375;Hilfsmaßnahmen;;;
;376;Wiederaufbau;;;
;377;Sach- und Wohngebäudeversicherung;;;
;378;Katastrophenschaden;;;
;379;entwurzelte Bäume;;;
;380;Gebäudeschäden (beschädigte Dacher);;;
;381;überfluttete Straßen;;;
;382;Sachschäden;;;
;383;Behinderungen im Bahn- und Straßenverkehr;;;
;;;;;
;;;;;
