"Word,""Frequency"""
('lawinenabgang', 'ums'),1
('2.200', 'lawine'),1
('lawinengefahr', 'stark'),1
('lawinenabgänge', 'tirol'),1
('gemeldet', 'lawinenabgänge'),1
('lawinen', 'vermehrt'),1
('lawinenwarndienst', 'teilte'),1
('lawinenwarndienst', 'lwd'),1
('lawinengefahr', 'warnt'),1
('groß', 'lawinengefahr'),1
('lawinen', 'worden'),1
('lawinengefahr', 'pisten'),1
('jedoch', 'lawinengefahr'),1
('lawinengefahr', 'tatsächlich'),1
('besteht.hier', 'lawinengefahr'),1
('geht', 'lawinenwarndienst'),1
('bayernauch', 'lawinenwarndienst'),1
('lawinengefahrin', 'wegen'),1
('lawinengefahrin', 'österreich'),1
('lawinengefahr', 'straßenverkehr'),1
('beeinträchtigt', 'lawinengefahr'),1
('lawinenwarnzentrale', 'teilte'),1
('freitag', 'lawinensituation'),1
('bleibt', 'lawinensituation'),1
('bleiben.ausführliche', 'lawinenlage'),1
('beim', 'lawinenlage'),1
('hochalpendie', 'lawinengefahr'),1
('groß', 'lawinenwarndienst'),1
('erheblich', 'lawinengefahr'),1
('hochalpen', 'lawinenwarndienstes'),1
('schneebrettlawinen', 'skifahrer'),1
('ausgelöst', 'schneebrettlawinen'),1
('lawinen', 'mulden'),1
('erreichen', 'lawinen'),1
('form', 'lockerschneelawinen'),1
('lockerschneelawinen', 'lösen'),1
('ansteigen', 'lawinenwarndienst'),1
('großer', 'lawinengefahrauch'),1
('lawinengefahrauch', 'österreich'),1
('lawinengefahr', 'weiten'),1
('erhöhte', 'lawinenaktivität'),1
('lawinenaktivität', 'sagte'),1
('lawinenwarndienstes', 'sprecher'),1
('hieß', 'lawinenabgang'),1
('gosau', 'lawinenabgang'),1
('laut', 'lawinenwarnzentrale'),1
('erhöhte', 'lawinenwarnzentrale'),1
('bleiben.große', 'lawinengefahr'),1
('bayerischen', 'lawinengefahr'),1
('lawine', 'zugspitze'),1
('lawine', 'verschütteterst'),1
('lawine', 'skitourengeher'),1
('dienstag', 'lawinenabgang'),1
('gekommen', 'lawinenabgang'),1
('lawinenverschütteten-gerät', 'per'),1
('konnten', 'lawinenverschütteten-gerät'),1
('ausgraben', 'lawinenabgang'),1
('krankenhaus.lawinenrettung', 'mann'),1
('krankenhaus.lawinenrettung', 'minute'),1
('gerettet.bei', 'lawinenrettung'),1
('lawinenrettung', 'zählt'),1
('lawinengefahr', 'schneeverwehungen'),1
('lawinengefahren', 'unterwegs'),1
('auskennen', 'lawinengefahren'),1
('erkennen', 'lawinenkurse'),1
('lawinenkurse', 'schaffen'),1
('grundlagen', 'lawinenkunde'),1
('lawinenkunde', 'lernt'),1
('gehört', 'lawinenlagebericht'),1
('lawinenlagebericht', 'verstehen'),1
('lawinengefahr', 'mäßiger'),1
('erklärt', 'lawinengefahr'),1
('lawinenlage', 'wetter-'),1
('lawinenlage', 'prüfen'),1
('geplant', 'lawinengefahr'),1
('lawinen-verunfallten', 'prozent'),1
('lawinen-verunfallten', 'männer'),1
('lawinengefahr', 'möglicher'),1
('frauen', 'lawinengefahr'),1
('lawinensituationen', 'müssen'),1
('lawinensituationen', 'wieder-'),1
('lawinenlage', 'wetterbericht'),1
('lawinenlage', 'tourenbeschreibung'),1
('gelände', 'lawinenabgänge'),1
('lawinenabgänge', 'ähneln'),1
('lawinenwarndienstes', 'rudi'),1
('lawinensituationen', 'mair'),1
('lawinensituationen', 'ständig'),1
('hilft', 'lawinengefahr'),1
('lawinengefahr', 'reduzieren'),1
('erneut', 'lawinenabgängen'),1
('gekommen', 'lawinenabgängen'),1
('lawinen', 'pisten'),1
('hoch', 'lawinengefahr'),1
('gründe', 'lawinengefahr'),1
('dav', 'lawinengefahr'),1
('bayern', 'lawinengefahr'),1
('hauptlawinenproblem', 'vorhanden'),1
('derzeit', 'hauptlawinenproblem'),1
('abgehen', 'lawine'),1
('lawinen', 'steil'),1
('lawinen', 'relativ'),1
('auslösung', 'lawine.der'),1
('lawine.der', 'triebschnee'),1
('lawinenprobleme', 'typischen'),1
('internationale', 'lawinenprobleme'),1
('lawinenwarndienste', 'stehen'),1
('europäischer', 'lawinenwarndienste'),1
('europäische', 'lawinengefahrenstufenskala.sicherheitstipps'),1
('berg-', 'lawinengefahrenstufenskala.sicherheitstipps'),1
('aktuellen', 'lawinenlagebericht'),1
('lawinenlagebericht', 'llb'),1
('lawinenprobleme', 'ursache'),1
('lawinenprobleme', 'warum'),1
('lawinengefahrenstufe', 'vorliegende'),1
('hangneigung', 'lawinengefahrenstufe'),1
('lawinengefahr', 'werden.aktuelle'),1
('informationenfür', 'lawinengefahr'),1
('amtliche', 'lawinenwarndienst'),1
('lawinenwarndienst', 'referats'),1
('lawinenbulletin', 'liefert'),1
('lawinenbulletin', 'online'),1
('lawinenvorhersage', 'schnee'),1
('italien.lawinenunglücke', 'lawinenvorhersage'),1
('italien.lawinenunglücke', 'wochenendebei'),1
('lawinenunglück', 'wochenendebei'),1
('dpa', 'lawinenunglück'),1
('lawinenunglück', 'ähnliches'),1
('lawinenunglück', 'weihnachtendrei'),1
('konnten', 'lawine'),1
('ausfahren', 'lawine'),1
('lawinenairbags', 'rucksäcke'),1
('lawinenairbags', 'weihnachten'),1
('lawinenunglück', 'nähe'),1
('gegeben', 'lawinenunglück'),1
('lawine', 'stirbt'),1
('lawine', 'mont'),1
('lawine', 'verschüttetaufsehen'),1
('erregte', 'lawine'),1
('fünf', 'lawine'),1
('brustkorbes', 'lawinenabgang'),1
('lawinenabgang', 'österreich'),1
('demnach', 'lawinenwarnstufe'),1
('lawinenwarnstufe', 'mäßige'),1
('lawinengefahr', 'mitteilung'),1
('erheblicher', 'lawinengefahr'),1
('lawinengefahr', 'rede'),1
('geübt', 'lawine'),1
('lawine', 'meter'),1
('lawine', 'soldaten'),1
('erfasstinsgesamt', 'lawine'),1
('gebirgsjäger', 'lawinenunglück'),1
('lawinenunglück', 'überrascht'),1
('lawine', 'übung'),1
('lawinenwarndienst', 'tiroler'),1
('erheblichen', 'lawinenwarndienst'),1
('felslawine', 'tirol'),1
('felslawine', 'getötet'),1
('herrsche', 'lawinengefahr'),1
('lawine', 'lech/zürs'),1
('lawinenabgang', 'sehen'),1
('lawinenabgang', 'vorarlberg'),1
('bleiben.lawinenkommissionen', 'pisten'),1
('analysieren', 'bleiben.lawinenkommissionen'),1
('eigene', 'lawinenkommission'),1
('lawinenkommission', 'regel'),1
('lawinen-experten', 'regel'),1
('lawinen-experten', 'mitgliedern'),1
('lawinengefahr', 'skipisten'),1
('heiklem', 'lawinengefahr'),1
('bilden', 'lawinenlageberichte'),1
('lawinenlageberichte', 'lawinenwarndienst'),1
('lawine', 'zuvor'),1
('lawine', 'zehn'),1
('bayern', 'lawinenwarndienstes'),1
('erstellten', 'lawinenlageberichte'),1
('gehen', 'lawinenlageberichte'),1
('lawinenkommissionendie', 'sorgfaltspflicht'),1
('lawinenkommissionendie', 'mitglieder'),1
('lawinenkommissionen', 'mitglieder'),1
('lawinenkommissionen', 'skigebieten'),1
('lawinenlageberichte', 'nutzen'),1
('informationsgrundlage', 'lawinenlageberichte'),1
('lawinen', 'wetter'),1
('einschätzen', 'lawinen'),1
('lawinenkommissionen', 'sprengungen'),1
('lawinenkommissionen', 'obliegt'),1
('lawinenunglücke', 'tödliche'),1
('lawinenunglücke', 'skipisten'),1
('lawinenabgang', 'schnalstal'),1
('lawinenabgang', 'verletzten'),1
('lawinenabgang', 'ursachen'),1
('lawinenabgang', 'unterschiedlich'),1
('lawine', 'schneeschuhwanderer'),1
('lawine', 'skigebiet'),1
('lawinen', 'skipisten'),1
('lawinenunglück', 'vorarlberg'),1
('ersten', 'lawinenunglück'),1
('lawinenwarnstufe', 'weiterhin'),1
('allgäuer', 'lawinenwarnstufe'),1
('lawinengefahr', 'werdenfelser'),1
('großen', 'lawinen'),1
('gefährlich', 'lawinen'),1
('gefahr', 'lawine'),1
('lawine', 'tieferen'),1
('lawinenabgang', 'weggewaschen'),1
('arlberg', 'lawinenabgang'),1
('innsbruck', 'lawinenabgang'),1
('lawinenabgang', 'zürs'),1
('lawinenkegel', 'scheinwerfer'),1
('lawinenkegel', 'piste'),1
('lawine', 'personen'),1
('beteiligung', 'lawinenunfall'),1
('lawinenunfall', 'zunächst'),1
('erhebliche', 'lawinengefahram'),1
('lawinengefahram', 'sonntag'),1
('arlberg', 'lawinengefahr'),1
('jedoch', 'lawinenwarndienstes'),1
('erheblich.dass', 'lawinen'),1
('lawine', 'überleben'),1
('kurzem', 'lawine'),1
('lawinenlagebericht', 'richtig'),1
('artikel', 'lawine'),1
('lawine', 'österreich'),1
('lawine', 'niedergegangen'),1
('lawine', 'niedergehenden'),1
('lawine', 'rausgekommen'),1
('lawinensuchhunden', 'suchmannschaften'),1
('einsatz', 'lawinensuchhunden'),1
('einsatz', 'lawinenkegel'),1
('lawinenkegel', 'suche'),1
('lawinengefahr', 'schneefällen'),1
('lawinengefahr', 'zugleich'),1
('erheblich.mit', 'lawinenwarndienstes'),1
('auszurutschen', 'lawinengefahr'),1
('lawinengefahr', 'vier'),1
('bayern', 'lawinen'),1
('lawinen', 'zwei'),1
('lawinenausrüstung', 'winter'),1
('lawinenausrüstung', 'ratsam'),1
('lawinenschaufel', 'verschüttetensuchgerät'),1
('lawinenlagebericht', 'richtigim'),1
('land', 'lawinenwarndienst'),1
('lawinenwarndienst', 'nimmt'),1
('lawinengefahr', 'örtliche'),1
('lawinengefahr', 'ramsau'),1
('internet-tool', 'lawinewarndienstes'),1
('la.dok', 'lawinewarndienstes'),1
('la.dok', 'lawinenlagebericht'),1
('besser', 'lawinenlagebericht'),1
('lawinenwarnkommissionen', 'mitglieder'),1
('bayern', 'lawinenwarnkommissionen'),1
('eingesetzt', 'lawinenkommissionen'),1
('daten', 'lawinengefahr'),1
('freigegeben', 'lawinenwarnstufe'),1
('lawinenwarnstufe', 'leben'),1
('lawinenlagebericht', 'täglichen'),1
('lawinenlagebericht', 'übermitteln'),1
('erstellung', 'lawinenlageberichts'),1
('lawinenlageberichts', 'sagt'),1
('lawinenwarndienstes', 'thomas'),1
('bekannten', 'lawinenhängen'),1
('lawinenhängen', 'melden'),1
('lawinenwarndienst', 'melden'),1
('lawinenunglücken', 'skitourengeher'),1
('lawinenunglücken', 'ums'),1
('lawinenlageberichts', 'täglichen'),1
('erstellt', 'lawinenlageberichts'),1
('alpen', 'lawinenkommissionen'),1
('informieren', 'lawinenkommissionen'),1
('lawinengefahr', 'letzte'),1
('fehlen', 'lawinenunglück'),1
('himalaya', 'lawinenunglück'),1
('lawine', 'vermisst'),1
('40-köpfige', 'lawine'),1
('besorgt', 'lawine'),1
('lawine', 'unterschätzt'),1
('lawine', 'wachsen'),1
('lawine', 'sorgte'),1
('großen', 'lawinenabgang'),1
('14.januar', 'lawinenabgang'),1
('lawinenschutzprogramm', 'neuen'),1
('lawinenschutzprogramm', 'seitdem'),1
('lawinen', 'schutz'),1
('eingebaut', 'lawinen'),1
('lawinenunglück', 'südtirol'),1
('lawinenunglück', 'ums'),1
('gefunden', 'lawinen'),1
('bergsteiger', 'lawinenkegel'),1
('gelegen', 'lawinenkegel'),1
('lawinen', 'tod'),1
('hauptursachen', 'lawinen'),1
('alpen', 'gleitschneelawine'),1
