Word,Frequency
grund,11
mögliche,11
eigenen,11
führt,11
unterstützen,11
wenige,11
wer,11
eben,11
funktioniert,11
jüngsten,11
bäche,11
getroffen,11
richtung,11
abgeschlossen,11
kreuz,11
oft,11
platz,11
frei,11
kellern,11
gegenüber,11
beschlossen,11
scholz,11
überall,11
schweren,11
alte,11
monaten,11
unwettern,11
kritik,11
kurz,11
oberbürgermeister,11
feuerwehren,11
lediglich,11
nie,11
sorgt,11
zwölf,11
ache,11
laschet,11
staat,11
münchner,11
tendenz,11
bewohner,10
fläche,10
entstehen,10
hitze,10
konzept,10
stelle,10
klimawandels,10
starken,10
zumindest,10
rückhaltebecken,10
ergebnisse,10
landrat,10
pegeln,10
lagen,10
sturmböen,10
vereinzelt,10
kronach,10
oberen,10
insbesondere,10
rosenheim,10
ministerium,10
leute,10
wolle,10
stufe,10
entfernt,10
befindet,10
hingegen,10
einzelnen,10
dürfte,10
schweinfurt,10
tiere,10
wege,10
ziehen,10
ging,10
möglichst,10
ausreichend,10
martin,10
neues,10
freigegeben,10
dorf,10
entwickelt,10
strom,10
dringend,10
broadcast,10
technische,10
katastrophenfall,10
gefährlich,10
innenminister,10
unternehmen,10
hochwasserschutzes,10
geröll,10
unterhalb,10
bald,10
beide,10
wert,10
dillingen,10
ganzen,10
markus,10
leipheim,10
deren,10
starben,10
überflutete,10
gelder,10
muren,10
altstadt,10
solidarität,10
daher,10
rettungskräfte,10
frau,10
aufnehmen,10
tief,10
brücke,10
cell,10
naturkatastrophen,10
hochwasserlage,10
habeck,10
hinzufügen,10
landtag,9
abfließen,9
befürchtet,9
macht,9
unserer,9
dennoch,9
jahres,9
ortsteil,9
völlig,9
fischerdorf,9
600,9
lag,9
probleme,9
nutzen,9
schaffen,9
gemeinsam,9
norden,9
flusspegel,9
entwarnung,9
ansbach,9
land-,9
blieb,9
unwetterwarnung,9
oberallgäu,9
hochwassergefahr,9
umweltministerium,9
tatsächlich,9
planungen,9
hochwasserschutzmaßnahmen,9
haidenaab,9
gebiet,9
coburg,9
stellenweise,9
stunde,9
stadtgebiet,9
informiert,9
erde,9
400,9
besteht,9
steinach,9
bringt,9
300,9
vielleicht,9
verschiedene,9
unterstützt,9
darum,9
bob-,9
mitarbeiter,9
hohen,9
auftrag,9
verloren,9
alten,9
2002,9
häusern,9
arbeit,9
sogenannten,9
nötig,9
bevölkerungsschutz,9
auto,9
hilfswerk,9
stefan,9
roten,9
großes,9
kies,9
komplett,9
massiv,9
gesorgt,9
maßnahme,9
rückhalteräume,9
widerstand,9
deich,9
tote,9
verein,9
fragen,9
untersucht,9
spricht,9
hoffnung,9
sowohl,9
gebieten,9
dankbar,9
früh,9
würzburg,9
peter,9
ferchenbach,9
bürgermeisterin,9
fälle,9
mobile,9
tages,9
2018,9
dupper,9
hochwasserwarnstufe,9
innpromenade,9
auenzustandsbericht,9
abonnieren,9
dazustellen,9
entspricht,8
landwirtschaftlichen,8
paar,8
getan,8
regnet,8
schließlich,8
findet,8
geschaffen,8
funktionieren,8
einwohner,8
ereignisse,8
diskussion,8
wasserwirtschaftsamts,8
nördlich,8
windsheim,8
erster,8
entsprechende,8
hochwassernachrichtendienstes,8
scheitel,8
meldestufen,8
forstwirtschaftliche,8
verkehrsbehinderungen,8
rodelbahn,8
läuft,8
begonnen,8
grenze,8
danach,8
daten,8
vorhersagen,8
grundsätzlich,8
erhalten,8
bestehen,8
verbreitet,8
derweil,8
schulen,8
eingerichtet,8
massive,8
verkehr,8
personen,8
verletzt,8
fahrzeuge,8
autofahrer,8
unterwegs,8
ähnlich,8
landesamt,8
thema,8
anfang,8
vorhergesagt,8
hof,8
berg,8
milde,8
länger,8
veränderungen,8
landwirtschaft,8
trocken,8
klima,8
kahlgrund,8
monate,8
pakistan,8
sofort,8
acht,8
dauert,8
überhaupt,8
geworden,8
geraten,8
anschließend,8
100.000,8
trinkwasser,8
kurzer,8
katastrophenhilfe,8
zuständig,8
gerät,8
gesichert,8
süden,8
aufgestellt,8
grüne,8
antrag,8
eher,8
bischofswiesen,8
mure,8
wiederaufbau,8
überschwemmte,8
zusätzliche,8
sinkt,8
fische,8
weise,8
schwäbischen,8
europa,8
andreas,8
betont,8
setzen,8
extreme,8
massiven,8
langsam,8
überflutung,8
glück,8
ausbezahlt,8
verlassen,8
gemeldet,8
wassermengen,8
gezielt,8
blick,8
gesagt,8
medien,8
bereiche,8
zuvor,8
extrem,8
2019,8
plötzlich,8
kinder,8
