Word;Frequency;
offenes;18;
situation;18;
bayreuth;18;
vorsicht;18;
konnten;18;
rauchen;18;
unklar;17;
führen;17;
folgen;17;
mittlerweile;17;
bundeswehr;17;
bringen;17;
wetterdienstes;17;
beginn;17;
herrscht;17;
jedoch;17;
beispielsweise;17;
felder;17;
finden;17;
waldstück;17;
mähdrescher;17;
ebenfalls;17;
gesamten;17;
erklärte;17;
weggeworfene;17;
brandstelle;17;
märz;17;
bamberg;17;
gelände;17;
brandbekämpfung;17;
winde;17;
gekommen;16;
gehen;16;
gebäude;16;
hieß;16;
regelmäßig;16;
eingesetzt;16;
gebe;16;
urlauber;16;
letzten;16;
rasch;16;
material;16;
steht;16;
auto;16;
grund;16;
per;16;
großes;16;
brannten;16;
frankreich;16;
stellen;16;
ausgebreitet;16;
oktober;16;
abend;16;
brandursache;16;
bleibt;16;
morgen;16;
keinesfalls;16;
gebrannt;16;
faktenfuchs;15;
westen;15;
richtung;15;
neuen;15;
evakuiert;15;
franken;15;
gerade;15;
natur;15;
trockenen;15;
halten;15;
brandgefahr;15;
müsse;15;
opfer;15;
goldammer;15;
sieht;15;
oft;15;
geben;15;
lkr;15;
rauchverbot;15;
waldgebiete;15;
heiß;15;
weiteren;15;
mitte;15;
zuletzt;15;
usa;15;
luftbeobachtung;15;
appelliert;15;
unterstützung;14;
betroffenen;14;
teils;14;
zuvor;14;
kampf;14;
kamen;14;
sogenannten;14;
mal;14;
tun;14;
nie;14;
extrem;14;
experten;14;
august;14;
zukunft;14;
schaden;14;
weite;14;
tausende;14;
insel;14;
bund;14;
leitstelle;14;
sonne;14;
späten;14;
nordosten;14;
sorgen;14;
sieben;14;
metern;14;
grenze;14;
vielerorts;14;
einsätze;14;
groß;14;
standen;14;
höchsten;14;
athen;14;
dazufügen;14;
angesichts;13;
bekämpfung;13;
helfen;13;
extreme;13;
damals;13;
vermutlich;13;
starken;13;
trotz;13;
meter;13;
quadratkilometer;13;
führt;13;
steigen;13;
anhaltende;13;
erkennen;13;
verursachen;13;
denen;13;
kleine;13;
zigarettenkippe;13;
möglichst;13;
brennen;13;
bittet;13;
berlin;13;
nachdem;13;
entfernt;13;
unterstützen;13;
würzburg;13;
offenem;13;
heiße;13;
weiten;13;
darüber;13;
helfer;13;
drohne;13;
quadratmetern;13;
regensburg;13;
5.000,00;13;
hoher;13;
griechischen;13;
gefahrenstufe;13;
gemeinde;12;
außer;12;
südlich;12;
hauptstadt;12;
allein;12;
darauf;12;
berichtet;12;
fall;12;
meisten;12;
waldgebiet;12;
bereich;12;
liegen;12;
großer;12;
europa;12;
ländern;12;
feldern;12;
erreichen;12;
nein;12;
anfang;12;
fest;12;
schwandorf;12;
mitteilt;12;
fahrzeug;12;
trockene;12;
flächenbrand;12;
entdeckt;12;
bord;12;
niemand;12;
gewitter;12;
innenminister;12;
dringend;12;
größten;12;
freitagnachmittag;12;
frühen;12;
waldbrandbekämpfung;12;
150;12;
sächsische;12;
ausbreiten;12;
funke;12;
müssten;12;
oberfränkischen;12;
schwaben;12;
warnt;12;
pilot;11;
zentrum;11;
medien;11;
australien;11;
michael;11;
zurück;11;
steigt;11;
häufig;11;
brennende;11;
kräfte;11;
besser;11;
darunter;11;
technischen;11;
europäischen;11;
künftig;11;
landwirtschaft;11;
geregnet;11;
