Word;Frequency;
elf;14;
bayerische;14;
wirklich;14;
sorgen;14;
meisten;14;
märz;14;
bergen;14;
erneut;14;
berichte;14;
roten;14;
nachrichtenagentur;14;
erdbeben-katastrophe;14;
rettung;14;
ausland;14;
darum;14;
katastrophenschutz;14;
erschütterungen;14;
peter;14;
wasser;14;
pfister;14;
verstorbenen;14;
dadurch;14;
grenze;14;
mann;14;
eigenen;14;
hieß;14;
japan;14;
lässt;14;
schwierig;14;
gar;13;
besteht;13;
genau;13;
verschiedenen;13;
zahlreiche;13;
grenzregion;13;
dpa;13;
medizinische;13;
kamen;13;
heute;13;
hoffnung;13;
sagen;13;
probleme;13;
kritik;13;
wolle;13;
sonntag;13;
konnte;13;
sogar;13;
naturkatastrophe;13;
folgen;13;
wut;13;
unbürokratisch;13;
fünf;13;
straßen;13;
neben;13;
bab;13;
gebiet;13;
schneller;13;
lkw;13;
gebraucht;13;
morgen;13;
zentrum;12;
geoforschungszentrum;12;
warum;12;
afghanistan;12;
anfang;12;
höhe;12;
gestorben;12;
treffen;12;
seite;12;
kleidung;12;
bringen;12;
angesichts;12;
geben;12;
christian;12;
aktiv;12;
weiterhin;12;
visa;12;
acht;12;
hilfsbereitschaft;12;
verletzten;12;
erdbebenopfern;12;
mittlerweile;12;
größte;12;
opfern;12;
stellen;12;
samstag;12;
gestiegen;12;
später;12;
idlib;12;
gebiete;12;
suchen;12;
bereit;12;
behörde;12;
erdbebenkatastrophe;12;
kleine;12;
rebellen;12;
folge;12;
unterkünfte;12;
marco;12;
2011;12;
trotz;12;
freunde;12;
bilder;12;
angst;12;
söder;12;
seismische;12;
russland;12;
uhr;12;
rotation;12;
rettungsteams;12;
insight;12;
unserer;11;
lange;11;
münchner;11;
internationale;11;
angewiesen;11;
50.000,00;11;
unterstützt;11;
sieben;11;
sammeln;11;
knapp;11;
organisation;11;
neue;11;
sogenannte;11;
wurzeln;11;
darüber;11;
natürlich;11;
relativ;11;
zeigen;11;
trauer;11;
südosten;11;
innerhalb;11;
warten;11;
heißt;11;
lang;11;
erdbeben-tote;11;
chef;11;
who;11;
bestatter;11;
wahhoud;11;
eltern;11;
hunderte;11;
anadolu;11;
leichen;11;
al-hawa;11;
regensburger;11;
bevölkerung;11;
fall;11;
bayerischen;11;
brk;11;
deligöz;11;
baştürk;11;
ereignete;11;
hoch;10;
gfz;10;
mitarbeiter;10;
vorbereitet;10;
mussten;10;
südosttürkei;10;
dollar;10;
bedarf;10;
ministerpräsident;10;
hilfen;10;
kuntz;10;
zusammen;10;
stunde;10;
augsburg;10;
eingetroffen;10;
wohnungen;10;
aufgabe;10;
pro;10;
holen;10;
tatsächlich;10;
rief;10;
offiziellen;10;
vater;10;
monaten;10;
schutt;10;
schlafen;10;
150;1;
vorübergehend;10;
video;10;
nancy;10;
tonnen;10;
200;1;
aktuell;10;
gemeinden;10;
weiteren;10;
infrastruktur;10;
wunder;10;
möglichen;10;
kind;10;
atsu;10;
berichten;10;
teilen;10;
angekündigt;10;
teils;10;
lastwagen;10;
schicken;10;
wissenschaftler;10;
grenzübergang;10;
al-assad;10;
usa;10;
erreichen;10;
kreuz;10;
rkt;10;
100;1;
erdkerns;10;
würzburg;10;
ortszeit;10;
palma;10;
aufgebaut;9;
befindet;9;
äußere;9;
druck;9;
hätte;9;
usgs;9;
nähe;9;
entfernt;9;
häusern;9;
afp;9;
internationalen;9;
überleben;9;
getötet;9;
zwölf;9;
hilfsgütern;9;
warme;9;
kontrollierten;9;
großes;9;
läuft;9;
grenzen;9;
bewohner;9;
gehört;9;
nachdem;9;
