Word,Count
gefährlicher,1
einsatz,7
dieser,12
katastrophe,5
arabischen,2
welt,8
not,2
obdachlosen,1
mildern,1
spendet,1
katar,2
unterkünfte,3
fußballweltmeisterschaft,1
behörden,15
golfstaates,1
teilten,1
10.000,1
mobile,1
gestellt,3
350,1
davon,7
wurden,15
katarischen,1
entwicklungsfonds,1
bereits,16
sonntag,2
verschifft,1
plante,1
eigenen,2
mobilen,1
waren,14
angeschafft,1
"1,4",1
fans,1
unterzubringen,1
weltmeisterschaft,1
ins,4
strömten,1
dienstagmorgen,1
landete,1
erster,2
hilfsflug,1
saudi-arabien,2
35,2
tonnen,1
lebensmitteln,1
bord,2
flughafen,1
aleppo,1
regierung,1
kontrolliert,1
wird,29
rahmen,1
öffentlichen,1
kampagne,1
50,2
dollar,6
aufgebracht,1
landeten,1
saudische,1
flugzeuge,1
ausschließlich,1
wobei,2
teil,7
verarmten,1
rebellen,1
syriens,1
gelangte,1
weitere,7
hilfsflüge,1
anderem,7
jordanien,1
ägypten,1
vereinigten,2
emiraten,1
erdbebengebiet,2
steigt,3
seuchengefahr,1
afp,1
ap,1
dpa,3
epd,1
selbst,9
nur,21
schutthaufen,1
sitz,1
katastrophenschutzbehörde,1
afad,1
südtürkischen,1
hatay,1
eingestürzt,2
sinnbild,1
zerstörung,3
geworden,1
taschen,1
erste,6
ragen,1
medienfotos,1
sehen,10
16.000,1
erdbeben-tote,1
verbringen,1
zweite,4
nacht,5
freien,2
schwersten,3
letzten,4
jahrzehnte,1
ausmaß,1
deutlicher,1
schockierend,1
tausende,2
8.100,1
39.000,1
verletzt,3
weltgesundheitsorganisation,1
23,2
folgen,10
bebens,1
sein.die,1
erdbebenregionen,1
mussten,1
folge,5
mittwoch,6
rettungskräfte,10
schwerem,1
gerät,1
tage,3
schwindet,1
hoffnung,2
strom,4
wasser,9
fehlt,2
bitterkaltviele,1
verzweifelt,1
abgelegenen,1
regionen,5
rufe,1
teilweise,3
fehlen,2
zufahrtswege,1
verschneit,1
bitterkalt,1
medien,3
mutmaßlichen,1
standorte,1
ihrer,2
liebsten,1
scheint,5
jemanden,1
kennen,1
begraben,1
50.000,3
–,19
läuft,1
großflächig,1
angelaufen,1
warten,1
betroffene,3
rettungsteams,1
schweren,3
offiziell,1
4.200,1
toten,3
18.000,1
wollen,7
organisationen,5
privatleute,1
bayern,14
helfen,7
humedica,3
kaufbeuren,1
schickt,2
erkundungsteamdie,1
kaufbeurer,1
hilfsorganisation,5
plant,2
nächsten,2
tagen,4
pressesprecher,2
dreiköpfiges,1
erkundungsteam,1
abfliegen,1
ort,18
sondieren,1
müsse,9
türkischen,1
abgestimmt,1
johannes,1
peter,3
br24-anfrage,1
mitteilte,2
dahin,1
team,1
vorbereitet,4
geprüft,2
können.die,1
seinen,7
1.200,2
such-,1
medizinische,1
teams,1
konten,1
organisationenerdbeben-gebiet,1
schneefälle,2
erschweren,2
rettungsaktionenallerdings,1
aktuell,2
niedrige,1
verschütteten,1
zusätzlich,2
sodass,1
steigenden,1
opferzahlen,1
gerechnet,1
muss,10
heißt,7
aktionsbündnis,1
hilft,3
neben,5
medizinischer,1
dringend,4
benötigt,1
daher,2
zelte,2
heizstrahler,1
decken,4
thermokleidung,1
grundnahrungsmittel,1
5.000,1
menschen.einige,1
bündnis,1
zufolge,6
leisten,1
soforthilfe,1
nothilfeteams,1
kommenden,6
gebiete,2
geschickt,2
million,2
akuten,3
soforthilfemaßnahmen,1
tätigen,1
bündnisorganisationen,1
willkommen.zum,1
spendensammlungen,1
unterfranken,2
laufen,1
anregensburger,1
will,13
sendendie,1
regensburger,1
space-eye,3
senden,1
wolle,1
man,28
örtlichen,1
zusammenarbeiten,1
website,1
vereins,1
eingeworben,1
benötigte,2
güter,1
beschafft,1
schlafsäcke,1
winterbekleidung,1
babynahrung,2
verbandsmaterial,1
können,21
direkt,3
abgegeben,1
sammelstellen,2
regensburg,3
weiden,1
parsberg,1
straubing.türkische,1
vereine,2
sammeln,2
hilfskampagneder,1
bund,6
türkischer,1
münchen,2
unterstützt,4
südosten,1
hilfskampagne,1
standorten,1
neuaubing,1
taufkirchen,1
eingerichtet,4
auskunft,2
sprecher,4
aykan,1
inan,1
geldspenden,2
warme,1
kleidung,2
gebraucht,1
wasserkocher,1
freitag,2
mehreren,1
lkw,1
südosttürkei,1
gebracht,1
werden.zum,1
oberbayern,2
erdbebenopfern,1
türkeigedenken,1
erdbeben-opfer,1
bayernzudem,1
ankündigungen,1
geplante,1
trauerzeremonien,1
gedenken,1
opfer,6
erdbebens,1
ditib-türkisch-islamische,1
gemeinde,4
trauerzeremonie,1
abhalten,1
treffen,1
trauernde,1
moschee,1
beten,1
gemeinsam,3
verstorbenen,1
feier,1
findet,4
zusammen,6
türkisch-islamischen,1
neutraubling,1
statt,4
beginn,3
17.30,1
uhr,1
teilnehmen,1
nicht-mitglieder.zum,1
bekommen,4
aller,4
thw,4
notstromaggregatenbundesinnenministerin,1
soforthilfen,1
technische,2
hilfswerk,3
kann,16
camps,1
notunterkünften,1
wasseraufbereitungs-einheiten,1
bereitstellen,1
berlin,4
hilfslieferungen,1
notstromaggregaten,1
zelten,2
bereitet,1
hinterließen,1
hohe,3
vorjahr,2
