Parent IDs;ID;Konzepte;Typ;Synonyme;Wortformen;;;
104;105;Abfolge besonders langer Wasserwellen;intern;;;;;
104;106;Tsunamiursache;intern;;Tsunamiursachen;;;
106;107;unterseeisches Erdbeben;intern;;;;;
106;108;Hineinrutschen großer Erd- und Gesteinsmassen ins Wasser;intern;;;;;
106;109;künstlich hervorgerufene Explosion;intern;;künstlich hervorgerufenen Explosionen;;;
106;110;Einschlag eines Himmelskörpers;intern;;Einschläge eines Himmelskörpers;;;
104;111;Tsunamigefahrenzone;intern;;Tsunamigefahrenzonen;;;
111;112;Erdbeben im Indischen Ozean 2004;intern;;;;;
111;113;Seebeben vor Java Juli 2006;intern;;;;;
104;114;Tsunamischutz;intern;;;;;
114;115;Frühwarnsystem im Japan;intern;;;;;
114;116;Malaysian National Tsunami Early Warning System (MNTEWS);intern;;;;;
2;117;Meteorologische;intern;;meteorologischer, meteorologisches, meteorologischen, meteorologischem;;;
117;118;Hurrikan;intern;Taifun, Tornado;Hurrikanen, Hurrikans, Hurrikane;;;
118;119;Hurrikanfolge;intern;;Hurrikanfolgen;;;
119;120;Sturmflut;intern;;Sturmfluten;;;
119;121;Windbruch;intern;Sturmholz, Windwurf;Windbrüche;;;
119;122;Küstenerosion;intern;geologische Abrasion;;;;
118;126;Hurrikaneigenschaft;intern;;;;;
126;127;Wirbelsturm;intern;Hurrikan, Taifun, tropischer Sturm, Zyklon;Zyklon(Meteorologie);;;
127;128;Zyklon;intern;Großtrombe;Zyklone, Zyklonen;;;
128;129;im Indischen Ozean und Südpazifik;intern;;;;;
126;130;hohe Windgeschwindigkeit;extern;;Hurrikanzentrums, Hurrikanzentren;;;
126;131;Hurrikanzentrum;intern;;;;;
117;132;Tornado;intern;Wind-/Wasserhose Großtrombe;Tornados;;;
132;133;Mesozyklonaler Tornado;intern;;;;;
133;384;Mesozyklon;intern;;Mesozyklone, Mesozyklonen;;;
133;135;Sturzregen;intern;Platzregen;;;;
133;136;Gewitterfallböe;intern;;Gewitterfallböe;;;
132;137;Nicht-mesozyklonaler Tornado;intern;;Nicht-mesozyklonale Tornados;;;
132;138;Tornadoursache;intern;;Tornadoursachen;;;
138;139;Superzelle;intern;mehrere Gewitterzellen;Superzellen;;;
132;142;Tornadofolge;intern;;Tornadofolgen;;;
142;143;umgestürzter Baum;extern;;umgestürzte Bäume,;;;
142;144;abgerissene Stromleitung;extern;;abgerissenee Stromleitung;;;
132;145;Tornado in Alabama;intern;;;;;
132;146;Tornadoerkennung;intern;Tornadomerkmale;;;;
146;147;Luftwirbel;intern;;;;;
146;148;rotierende Luftmasse;extern;;;;;
146;150;Fujita-Skala;intern;;;;;
146;151;TORRO-Skala;intern;;;;;
117;152;Dürre ;intern;Trockenheit, verursacht durch Hitze;dürr, Dürren;;;
;;Dürreereignis;intern;;Dürreereignisse;;;
;262;Dürreperiode;intern;;Dürreperiode;;;
;253;Dürrejahr;intern;;Dürrejahre, Dürrejahren;;;
